formula_pretty,avg_atomic_number,avg_electronegativity,valence_electron_count,fraction_transition_metals,nelements,density,volume,nsites,crystal_system,spacegroup_number,point_group,formation_energy_per_atom,energy_above_hull,band_gap
Ba2B10O17,10.27586207,2.78137931,14,0,3,3.335681207,651.8873936,58,Triclinic,2,-1,-2.990838682,0.002153663,5.7815
LiBH4,2,1.97,3,0,3,0.720105075,100.4652953,12,Orthorhombic,40,mm2,-0.427495619,0.021087375,5.4219
BaY2F8,18.72727273,3.197272727,13.09090909,0.181818182,3,4.091837166,189.5678682,11,Tetragonal,123,4/mmm,-4.302502634,0.072814647,6.276
RbCaCl3,21.6,2.26,10.8,0,3,2.523313971,305.2231982,10,Trigonal,161,3m,-2.613234921,0,5.3844
Cd(CN)2,14.8,2.574,14,0.2,3,2.0208213,270.2551435,10,Tetragonal,102,4mm,0.251232204,0.273218304,5.9948
Ca2B5H3O11,7.428571429,2.697142857,11.80952381,0,4,2.534235555,410.4809398,42,Monoclinic,9,m,-2.682228153,0.024053424,5.5382
Cs3Ga2F9,22,2.986428571,13,0,3,4.341269426,1627.498066,84,Hexagonal,185,6mm,-3.054010674,0,5.7462
SmP4HO12,12.16666667,2.967222222,14.22222222,0,4,3.381088928,458.9624861,36,Triclinic,2,-1,-2.774493913,0,5.7384
Cs2KLaF6,24,2.738,10.8,0.1,4,3.856237921,240.1970956,10,Cubic,225,m-3m,-3.55291225,0.006163184,6.2199
H8C2S3(NO3)2,6.19047619,2.721904762,10,0,5,1.636656504,1023.884817,84,Monoclinic,13,2/m,-0.766223307,0.32163742,5.8746
RbH2SNO3,10.75,2.645,10.25,0,5,2.710718709,889.732487,64,Orthorhombic,61,mmm,-1.452311323,0.054983693,5.4255
MgH20S2(NO7)2,4.871794872,2.684871795,7.897435897,0,5,1.801837377,664.6419961,78,Monoclinic,14,2/m,-1.382775038,0.001550319,5.386
Mg(AlCl4)2,15.81818182,2.71,14.90909091,0,3,1.976747325,608.004801,22,Monoclinic,15,2/m,-2.060351163,0,5.3156
Rb5B19O31,9.6,2.718181818,13.6,0,3,2.694045743,1391.438337,110,Monoclinic,15,2/m,-2.82864323,0,5.2852
H4NClO4,6,2.876,10,0,4,1.866342876,418.1336164,40,Orthorhombic,33,mm2,-0.643941357,0.374985954,5.2585
MgBP(H3O4)2,6,2.721176471,9.647058824,0,5,2.17727524,915.8088918,102,Trigonal,167,-3m,-2.066411199,0.000575374,5.4286
NdH3S2O9,11.13333333,2.924,12.13333333,0,4,3.491910306,676.007829,60,Monoclinic,14,2/m,-2.083782766,0.02816458,5.6317
CsY(BH4)4,5.909090909,2.062272727,3.272727273,0.045454545,4,1.681442091,555.3735881,44,Tetragonal,88,4/m,-0.366474354,0.000707917,5.7043
B5H9,2.428571429,2.142857143,5.285714286,0,2,0.751970823,139.3989631,14,Tetragonal,107,4mm,-0.05330072,0.028354676,5.7093
Al2O3,10,2.708,14.8,0,2,3.873499125,87.4200194,10,Trigonal,167,-3m,-3.426551008,0,5.8537
MgPH13O9,4.666666667,2.6275,7.25,0,4,1.671801728,210.9458348,24,Trigonal,146,3,-1.560479501,0.005027798,5.7485
LiPO3,8.4,2.698,12.8,0,3,2.353890412,1212.136547,100,Monoclinic,13,2/m,-2.700216261,0.002511032,5.7828
